id,title,overview,release_date,vote_average,vote_count,popularity,poster_path,genre_names
299536,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",2018-04-25,8.235,30420,57.8479,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,"Adventure, Action, Science Fiction"
933260,The Substance,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",2024-09-07,7.144,4443,57.251,/cGm2qnmXx9tFabmzEIkJZjCJdQd.jpg,"Horror, Science Fiction"
1084199,Companion,"During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.",2025-01-22,7.077,1069,55.514,/oCoTgC3UyWGfyQ9thE10ulWR7bn.jpg,"Horror, Science Fiction, Thriller"
1294203,My Fault: London,"18-year-old Noah moves from America to London, with her mother who's recently fallen in love with William, a wealthy British businessman. Noah meets William’s son, bad-boy Nick, and soon discovers there is an attraction between them neither can avoid. As Noah spends the summer adjusting to her new life, her devastating past will catch up with her while falling in love for the first time.",2025-02-12,7.472,374,55.0238,/ttN5D6GKOwKWHmCzDGctAvaNMAi.jpg,"Romance, Drama"
1254786,The Life List,"When her mother sends her on a quest to complete a teenage bucket list, a young woman uncovers family secrets, finds romance — and rediscovers herself.",2025-03-27,6.868,287,54.8137,/5fg98cVo7da7OIK45csdLSd4NaU.jpg,"Romance, Comedy, Drama"
1143407,Sky Force,"In the 1965 Indo-Pak War, India faces a devastating surprise attack. Wing Commander Ahuja leads a retaliatory strike, but Squadron Leader Vijaya goes missing after a heroic solo engagement against a superior enemy jet. Ahuja spends 23 years seeking the truth and uncovering a cover-up.",2025-01-24,6.581,31,53.8912,/pmtev9YTlIRDo25G7lN8dzyoszn.jpg,"Action, Thriller"
1241436,Warfare,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",2025-04-09,7.2,34,53.3829,/oXsDTDt1MqxJreROd2cbd2FMOZ2.jpg,"War, Action"
6844,The Ten Commandments,"Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.",1956-10-05,7.77,1677,53.2902,/3Ei59AR64x6dMZfWobPCkZjbqTL.jpg,"Drama, History"
774370,Dog Man,"When a faithful police dog and his human police officer owner are injured together on the job, a harebrained but life-saving surgery fuses the two of them together and Dog Man is born. Dog Man is sworn to protect and serve—and fetch, sit and roll over. As Dog Man embraces his new identity and strives to impress his Chief, he must stop the pretty evil plots of feline supervillain Petey the Cat.",2025-01-24,7.816,217,52.2669,/89wNiexZdvLQ41OQWIsQy4O6jAQ.jpg,"Family, Comedy, Adventure, Animation"
1013601,The Alto Knights,"Two of New York's most notorious organized crime bosses, Frank Costello and Vito Genovese, vie for control of the city's streets. Once the best of friends, petty jealousies and a series of betrayals place them on a deadly collision course that will reshape the Mafia (and America) forever.",2025-03-14,6.146,120,52.2233,/95KmR0xNuZZ6DNESDwLKWGIBvMg.jpg,"History, Drama, Crime"
1064213,Anora,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",2024-10-14,7.056,2046,52.0034,/7MrgIUeq0DD2iF7GR6wqJfYZNeC.jpg,"Drama, Comedy, Romance"
1113583,"Oh, Canada","Famed Canadian-American leftist documentary filmmaker Leonard Fife was one of sixty thousand draft evaders and deserters who fled to Canada to avoid serving in Vietnam. Now in his late seventies, Fife is dying of cancer in Montreal and has agreed to a final interview in which he is determined to bare all his secrets at last, to demythologize his mythologized life.",2024-12-06,6.167,51,51.8176,/hKDR5AYXRTPb751oc7xK2Ay3PH0.jpg,Drama
1249289,Alarum,"Two married spies caught in the crosshairs of an international intelligence network will stop at nothing to obtain a critical asset. Joe and Lara are agents living off the grid whose quiet retreat at a winter resort is blown to shreds when members of the old guard suspect the two may have joined an elite team of rogue spies, known as Alarum.",2025-01-16,5.8,248,51.3682,/v313aUGmMNj6yNveaiQXysBmjVS.jpg,"Action, Crime, Thriller"
1229646,"Robotia, la película",,2024-06-07,7.3,10,50.9733,/uRH4QEaa38Pz7xOiBJDaWp50s8g.jpg,"Animation, Adventure"
845781,Red One,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",2024-10-31,7.056,2446,50.5533,/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg,"Action, Comedy, Fantasy"
24428,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",2012-04-25,7.738,31594,50.5369,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,"Science Fiction, Action, Adventure"
1149137,The Travelling Dog,"The life of Zuzia, whose dad works on the railway, changes mas-sively when Lampo, an extraordinary travelling dog, joins the family. The remarkable shepherd dog, whose train trips are an internet sensation, immediately becomes the best friend of the girl suffering from a heart condition.",2023-08-25,6.6,9,49.987,/bC9K8ZWqSIG7sfe2XHzw73Sc8MC.jpg,"Family, Adventure"
597,Titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",1997-11-18,7.905,25901,46.0861,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,"Drama, Romance"
1333099,Dalia and the Red Book,"Dalia, the daughter of a famous writer who has recently died, inherits the legacy of finishing his book. To do this, Dalia will become part of the book and will come face to face with the characters who have taken the theme of the book in order to be the protagonists.",2024-10-17,7.344,16,43.6647,/oyGyAQZOj7NzyLxCZX7FHKYELP1.jpg,"Adventure, Drama, Fantasy, Animation"
845781,Red One,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",2024-10-31,7.056,2446,50.5533,/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg,"Action, Comedy, Fantasy"
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",2005-12-07,7.134,10878,44.9132,/iREd0rNCjYdf5Ar0vfaW32yrkm.jpg,"Adventure, Family, Fantasy"
1233575,Black Bag,"When intelligence agent Kathryn Woodhouse is suspected of betraying the nation, her husband – also a legendary agent – faces the ultimate test of whether to be loyal to his marriage, or his country.",2025-03-12,6.332,361,47.2688,/hHPovtU4b96LHcoeEwRkGHI5btw.jpg,"Drama, Mystery, Thriller"
