id,title,overview,release_date,vote_average,vote_count,popularity,poster_path,genre_names,type
504,The Ren & Stimpy Show,Ren and Stimpy are a mismatch made in animation heaven with nothing in common but a life-long friendship and an incredible knack for getting into trouble. Join them in their bizarre and gross world for some outlandish situations coupled with hilarious jokes.,1991-08-11,7.62,468,37.0822,/agigRDZboXvVMgbPPMyVxNWIXeW.jpg,"Animation, Sci-Fi & Fantasy, Comedy, Kids",tv
207646,Niji wo Oru,"The 26th NHK Asadora. Shimazaki Kayo is a woman from Hagi, Yamaguchi, who joins the Takarazuka Revue, a Japanese all-female musical theater troupe based in Takarazuka, Hyougo Prefecture, Japan. Women play all roles in lavish, Broadway-style productions of Western-style musicals, and sometimes stories adapted from shoujo manga and Japanese folktales.",1980-10-06,0.0,0,37.0737,/y0vGgBUrgLMBeT9zPFef01vSjrh.jpg,Drama,tv
244261,Bares für Rares - Lieblingsstücke,,2016-07-10,0.0,0,37.0733,/uxL9bFuh4B0dapYdVXRQXxwQLZN.jpg,"Talk, Reality",tv
41349,Vienna Crime Squad,SOKO Donau is an Austrian television series.,2005-10-11,4.583,6,37.0649,/6neMXFYe3M2aXznAvVKo5nrTMZf.jpg,Crime,tv
218740,La antorcha encendida,"A Mexican telenovela produced in 1996.  It was the last historical telenovela produced by Televisa. The plot tells the Independence of Mexico, with an emphasis on historical accuracy.",1996-05-06,5.0,1,37.0642,/7slkfxjGh6kIAefkC87KAn9lwH9.jpg,Drama,tv
1478,The F Word,"The F Word is a British food magazine and cookery programme featuring chef Gordon Ramsay. The programme covers a wide range of topics, from recipes to food preparation and celebrity food fads. The programme is made by Optomen Television and aired weekly on Channel 4. The theme tune for the series is ""The F-Word"" from the Babybird album Bugged.",2005-10-27,6.0,19,37.0525,/63tzS2P1B7FQD8MJFoKmvUYK9hz.jpg,Documentary,tv
15903,Best Selling Secrets,"Wong Ka-Nam disappeared to the United States, leaving behind her son and husband in Hong Kong. When her husband dies in an airplane accident looking for her, Wong Ka-Nam's son, Luk Chit is taken into the custody of her mother-in-law, Ng Hang. After eighteen long years, Wong Ka-Nam wishes to see her son again and returns to Hong Kong. However, she is met with adamant resistance from her mother-in-law, who views Ka-Nam as bad luck, blaming her for the death of her son. Highly protective of her grandson and fearing that Wong Ka-Nam will attempt to take him away, Ka Nam's mother-in-law does everything in her power to keep mother and son apart. However, Wong Ka-Nam is ironically assisted by her own son, who befriends her and secures her office job in his advertising agency.",2007-03-12,8.0,1,37.0433,/hDhUREsTCsYzAxykh2CxpJVFzQf.jpg,Comedy,tv
89766,Golpe de Sorte,,2019-05-27,0.0,0,37.0404,/crPj51OVO5pQm5nUJV4bCwQhbnS.jpg,"Soap, Drama, Crime",tv
58981,The Thundermans,"Meet The Thundermans, a typical suburban family that happens to have astounding superpowers. At the center of the action are the 14-year-old Thunderman twins, who share the same bathroom, the same school, and the same annoying little siblings. Their only difference? The sister is a super student with a super sunny disposition who super looks forward to being a superhero someday, and her twin brother is a super villain.",2013-10-14,8.0,567,37.0377,/1tIYEyjK1LLcX0jYK3ZouT7601o.jpg,"Action & Adventure, Comedy, Family, Sci-Fi & Fantasy",tv
99045,Mi Pequeña Traviesa,,1997-12-08,7.0,116,37.0376,/8uQJqK30nNzJOkMGK9jIv0BY1Qt.jpg,"Soap, Drama",tv
1693,The Bernie Mac Show,"The Bernie Mac Show is an American sitcom that aired on Fox for five seasons from November 14, 2001 to April 14, 2006. The series featured comic actor Bernie Mac and his wife Wanda raising his sister's three kids: Jordan, Bryana, and Vanessa.",2001-11-14,6.4,60,37.0319,/auTnAsA5USO1901qti1mxbUIVoE.jpg,Comedy,tv
38122,Mysteries at the Museum,"Don Wildman unearths relics from the world's greatest institutions to reveal secrets from the past. He examines each artifact to illuminate history's most incredible triumphs, sensational crimes and bizarre encounters.",2010-11-02,9.1,18,37.0266,/iJsBQRZoEehX8biph7XkkFjtoM2.jpg,Documentary,tv
5185,Take the High Road,"Take the High Road was a British soap opera produced by Scottish Television, set in the fictional village of Glendarroch, which started in February 1980 as an ITV daytime soap opera, and was dropped by the network in 1993, although various members of the ITV Network continued to screen the programme, while others had no interest in doing so. The programme has developed a cult following.",1980-02-19,5.2,4,37.0182,/jKLzeGIZ39YE6LLCXU873YAZ1ha.jpg,"Soap, Drama",tv
31251,Victorious,Aspiring singer Tori Vega navigates life while attending a performing arts high school called Hollywood Arts.,2010-03-27,8.219,1644,37.0136,/vdYmwL33rB2MnTc8IpTzU7YkcTn.jpg,"Comedy, Kids",tv
71970,The Barkers,"Mom, Dad and... five puppies. The Barboskins are like people. Dad spends his free time at the computer, his daughters are fond of fashion and listen to Jeanne Pussy, and his sons play football and dream of a Nobel Prize.",2011-11-02,6.4,7,37.0125,/8NykHrvW50GRv2BQH69TU4n2J65.jpg,"Animation, Comedy, Kids, Family",tv
128454,La noche es nuestra,,2018-01-08,2.0,1,37.0075,/rYeIAxfin6VCDgLmY4drvt19T8P.jpg,Talk,tv
